Time[s], Channel 0, Channel 1, Channel 2, Channel 3
14.837125720000000, 0, 0, 1, 0
14.837125820000001, 0, 0, 1, 1
14.837125920000000, 0, 0, 1, 0
14.837126040000001, 0, 0, 1, 1
14.837126140000001, 0, 0, 1, 0
14.837127100000000, 1, 0, 1, 0
14.837127920000000, 0, 0, 1, 0
14.837128120000001, 0, 0, 1, 1
14.837128240000000, 0, 0, 1, 0
14.837128340000000, 0, 0, 1, 1
14.837128440000001, 0, 0, 1, 0
14.837128540000000, 0, 0, 1, 1
14.837128660000001, 0, 0, 0, 0
14.837128760000001, 0, 0, 0, 1
14.837128860000000, 0, 0, 0, 0
14.837128880000000, 0, 0, 1, 0
14.837128960000001, 0, 0, 1, 1
14.837129080000000, 0, 0, 0, 0
14.837129180000000, 0, 0, 0, 1
14.837129280000001, 0, 0, 0, 0
14.837129300000001, 0, 0, 1, 0
14.837129380000000, 0, 0, 1, 1
14.837129500000000, 0, 0, 0, 0
14.837129600000001, 0, 0, 0, 1
14.837129700000000, 0, 0, 0, 0
14.837130660000000, 1, 0, 0, 0
14.837140440000001, 1, 1, 0, 0
14.837141200000000, 1, 1, 1, 0
